earthx,earthy,probeX0,probeY0,probeX1,probeY1,probeX2,probeY2,probeX3,probeY3,probeX4,probeY4,probeX5,probeY5,probeX6,probeY6,probeX7,probeY7,probeX8,probeY8
0,0,-2000000000,-500000000,-1500000000,-500000000,-1000000000,-500000000,-2000000000,0,-1500000000,0,-1000000000,0,-2000000000,500000000,-1500000000,500000000,-1000000000,500000000
6673.32386026316,44681549.335609,-2000142738.19382,-454721048.207336,-1500142627.31099,-454870355.731201,-1000142433.09577,-455019590.682258,-1999993389.49106,45278904.7693288,-1499993259.22059,45129565.8994926,-999992966.593416,44980227.0134924,-1999844060.48945,545278857.747955,-1499843949.61286,545129487.536009,-999843755.418332,544980044.734663
26693.2948458564,89363094.6848718,-2000272275.04347,-409442006.312922,-1500271831.4996,-409740558.738813,-1000271054.59703,-410038820.906547,-1999973557.9649,90557805.5898342,-1499973036.88296,90259127.7723442,-999971866.373669,89960449.8255409,-1999674919.6909,590557617.508282,-1499674476.19697,590258814.330081,-999673699.459949,589959720.76099
60059.9111711692,134044632.061443,-2000388610.52278,-364162878.259757,-1500387612.52085,-364610613.032089,-1000385864.39578,-365057694.797829,-1999940505.42346,135836698.512694,-1499939332.9889,135388681.591914,-999936699.340779,134940664.234701,-1999492577.63439,635836275.338103,-1499491579.80096,635387976.373123,-999489832.234616,634939023.953578
106773.169860184,178726157.478976,-2000491744.60691,-318883667.990881,-1500489970.33093,-319480522.620333,-1000486862.38456,-320076216.480922,-1999894231.87,181115579.589085,-1499892147.54144,180518223.331562,-999887465.494777,179920866.039524,-1999297034.35121,681114827.294583,-1499295260.47466,680516969.656096,-999292153.852682,679917950.186874
166833.066746476,223407666.951129,-2000581677.27227,-273604379.44937,-1500578904.88725,-274350291.512905,-1000574048.45653,-275094390.080498,-1999834737.30906,226394444.870188,-1499831480.54476,225647748.964648,-999824164.835706,224901051.038561,-1999088289.87398,726393269.434926,-1499085518.2691,725645790.170014,-999080664.425077,724896495.335178
240239.596473216,268089156.491558,-2000658408.49657,-228325016.578342,-1500654416.14843,-229219923.719214,-1000647422.50541,-230112219.721083,-1999762021.74648,271673290.407185,-1499757332.00428,270777254.464537,-999746797.363624,269881215.030357,-1998866344.23658,771671597.81638,-1498862353.23652,770774433.905947,-998855364.063314,769874655.272643
326992.752493167,312770622.113922,-2000721938.25883,-183045583.320949,-1500716504.07429,-184089423.248722,-1000706984.42551,-185129709.527058,-1999676085.18942,316952112.251259,-1499669701.92661,315906735.804592,-999655363.078599,314861353.81345,-1998631197.47421,816949808.496236,-1498625765.43037,815902896.85502,-998616252.87949,814852425.873268
427092.527068688,357452059.831883,-2000772266.53934,-137766083.620385,-1500765168.62586,-138958794.110939,-1000752734.1117,-140146863.62266,-1999576927.64633,362230906.453598,-1499568590.31955,361036188.958179,-999549861.980713,359841463.186374,-1998382849.62332,862227897.531827,-1498375754.9053,861031175.008412,-998363330.986283,859829803.010908
540538.911271732,402133465.659105,-2000809393.31969,-92486521.4198786,-1500800409.76539,-93828040.3154303,-1000784671.45947,-95163686.1319828,-1999464549.12695,407509669.065392,-1499453997.19213,406165609.898667,-999430294.07006,404821538.947654,-1998121300.72168,907505860.980534,-1498112321.71717,906159264.35736,-998096598.496953,904806782.559264
667331.894983851,446814835.609254,-2000833318.58275,-47206900.6626945,-1500822227.4563,-48697165.8718082,-1000802796.36486,-50180181.1789762,-1999338949.64232,452788396.137836,-1499325922.55455,451294994.599428,-999296659.346745,449801576.895806,-1997846550.80834,952783694.899776,-1497835465.92303,951287160.893155,-997816055.525345,949783360.391889
807471.466896191,491496165.695999,-2000844042.31268,-1927225.29213469,-1500830621.66327,-3566174.78973653,-1000807108.72451,-5196352.887447,-1999200129.20479,498067083.722129,-1499184366.41824,496424339.033837,-999148957.810888,494781572.829336,-1997558599.92365,998061395.347022,-1497545187.58117,996414860.607148,-997521702.185887,994759532.382183
960957.614509498,536177451.933015,-2000841564.49495,43352500.7484635,-1500825592.35213,41564928.9210718,-1000797608.43562,39787794.6189407,-1999048087.828,543345727.869474,-1499029328.7958,541553639.175272,-998987189.462619,539761522.546739,-1997257448.10922,1043338958.37978,-1497241486.75104,1041542359.49074,-997213538.593589,1039735294.4034
1127790.32413412,580858690.333979,-2000825885.1163,88632273.5157276,-1500807139.48997,86696141.2508543,-1000774295.39598,84772257.2166648,-1998882825.52691,588624324.631081,-1498860809.70106,586682890.997117,-998811354.302081,584741421.846499,-1996943095.40798,1088616380.05562,-1496924363.49334,1086669653.5354,-996891564.864044,1084710642.32863
1307969.58088999,625539876.912571,-2000797004.16477,133912089.066251,-1500775263.04504,131827458.1898,-1000737169.50398,129757030.782345,-1998704342.31775,633902870.058166,-1498678809.14904,631812090.472757,-998621452.329428,629721266.527085,-1996615541.86413,1133893656.43213,-1496593817.86995,1131796738.73264,-996555781.113428,1129685572.03082
1501495.36870668,670221007.68248,-2000754921.62968,179191943.456591,-1500729962.98684,176958875.728048,-1000686230.65855,174742111.192742,-1998512638.21807,679181360.201951,-1498483327.15596,676941233.575585,-998417483.544827,674701052.386951,-1996274787.52317,1179170783.56698,-1496249849.94395,1176923611.07405,-996206187.458503,1174660079.38276
1708367.67032331,714902078.657395,-2000699637.50166,224471832.743275,-1500671239.28605,222090389.855692,-1000621478.75924,219727494.324758,-1998307713.24671,724459791.113663,-1498274363.73924,722070316.278997,-998199447.948457,719680775.224538,-1995920832.43189,1224447757.51785,-1495892459.77965,1222050266.55126,-995842784.016612,1219634160.2571
1928586.46728866,759583085.851012,-2000631151.77262,269751752.982792,-1500599091.91456,267221996.562774,-1000542913.70616,264713176.055436,-1998089567.42381,769738158.84454,-1498051918.91752,767199334.556395,-997967345.540509,764660430.838268,-1995553676.63835,1269724574.34249,-1495521647.44254,1267176701.15596,-995465570.90568,1264607810.52632
2162151.73996108,804264025.277035,-2000549464.43575,315031700.231604,-1500513520.84548,312353691.839292,-1000450535.39999,309699152.261957,-1997858200.77081,815016459.445825,-1497815992.71062,812328284.381186,-997721176.321184,809640015.026547,-1995173320.19192,1315001230.09871,-1495137412.99933,1312302910.87991,-995074548.244221,1309581026.06276
2409063.46750855,848944892.949171,-2000454575.48554,360311670.546136,-1500414526.05311,357485471.675195,-1000344343.74202,354685418.821644,-1997613613.31046,860294688.968772,-1497566585.13956,857457161.726784,-997460940.290695,854619523.587761,-1994779763.14326,1360277720.84433,-1494739756.51792,1357428891.71492,-994669716.151327,1354553802.73858
2669321.62790863,893625684.881135,-2000346484.91778,405591659.982784,-1500302107.51299,402617332.060386,-1000224338.6341,399671971.611957,-1997355805.06679,905572843.464641,-1497303696.22658,902585962.566608,-997186637.449268,899598952.320276,-1994373005.54429,1405554042.63726,-1494328678.06744,1402554639.65286,-994251074.746678,1399526136.42582
2942926.19794853,938306397.086648,-2000225192.72953,450871664.597911,-1500176265.20183,447749268.984721,-1000090519.97864,444658806.510497,-1997084776.06515,950850918.984703,-1497027325.99512,947714682.874088,-996898267.797138,944578297.022438,-1993953047.44826,1450830191.53543,-1493904177.7182,1447680150.68568,-993818624.150535,1444498022.99633
3229877.15322506,982987025.579438,-2000090698.91917,496151680.447852,-1500036999.09756,492881278.43801,-999942887.678679,489645919.395002,-1996800526.33218,996128911.580239,-1496737474.4698,992843318.622655,-996595831.334554,989557553.492569,-1993519888.90967,1496106163.59684,-1493466255.54173,1492805420.80536,-993372364.483744,1489469458.32183
3530174.46814462,1027667566.37324,-1999943003.48634,541431703.588907,-1499884309.17933,538013356.410018,-999781441.637787,534633306.143347,-1996503055.8958,1041406817.30254,-1496434141.67646,1037971865.78575,-996279328.061772,1034536717.52897,-1993073529.98434,1541381954.87952,-1493014911.61076,1537930446.00395,-992912295.867735,1534440438.27388
3843818.11592327,1072348015.4818,-1999782106.43198,586711730.077351,-1499718195.4275,583145498.890463,-999606181.760139,579620962.633547,-1996192364.78528,1086684632.20291,-1496117327.64214,1083100320.33683,-995948757.979061,1079515784.92991,-1992613970.72935,1586657561.44158,-1492550145.99921,1583055222.27358,-992438418.424523,1579410958.72387
4170808.06858667,1117028368.91888,-1999608007.75834,631991755.969427,-1499538657.82361,628277701.869021,-999417107.95048,624608884.743752,-1995868453.03113,1131962352.33266,-1495787032.39508,1128228678.24934,-995604121.086701,1124494751.49365,-1992141211.20309,1631932979.34115,-1492071958.78223,1628179745.60641,-991950732.276705,1624381015.54304
4511144.2969701,1161708622.69822,-1999420707.46894,677271777.32135,-1499345696.35044,673409961.335321,-999214220.114136,669597068.352249,-1995531320.6652,1177239973.74311,-1495443255.96472,1173356935.49676,-995245417.384982,1169473613.01841,-1991655251.46524,1677208204.63644,-1491580350.03615,1673304011.9947,-991449237.547464,1669350604.60248
4864826.77071847,1206388772.8336,-1999220205.5686,722551790.189306,-1499139310.99195,718542273.278949,-998997518.15701,714585509.337461,-1995180967.72062,1222517492.48562,-1495085998.3817,1218485088.05255,-994872646.874202,1214452365.30238,-1991156091.57675,1722483233.38569,-1491075319.83854,1718428017.43073,-990933934.360566,1714319721.77311
5231855.45828633,1251068815.33879,-1999006502.06342,767831790.629454,-1498919501.73335,763674633.689445,-998767001.985584,759574203.577949,-1994817394.23184,1267794904.61151,-1494715259.67786,1263613131.89021,-994485809.554674,1259431004.14373,-1990643731.59986,1767758061.6472,-1490556868.26812,1763551757.90689,-990404822.840362,1759288362.92569
5612230.32693784,1295748746.2276,-1998779596.96082,813111774.697926,-1498686268.56101,808807038.556308,-998522671.506917,804563146.952406,-1994440600.23458,1313072206.17217,-1494331039.88626,1308741062.98322,-994084905.426716,1304409525.34059,-1990118171.59812,1813032685.47934,-1490024995.40487,1808675229.41558,-989861903.111787,1804256523.93084
6005951.34274681,1340428561.5138,-1998539490.26947,858391738.450824,-1498439611.46253,853939483.868994,-998264526.628648,849552335.339662,-1994050585.76588,1358349393.21896,-1493933339.04113,1353868877.3051,-993669934.490658,1349387924.69107,-1989579411.63635,1858307100.94051,-1489479701.32993,1853798427.9493,-989305175.300361,1849224200.659
6413018.47059668,1385108257.21122,-1998286181.99936,903671677.944228,-1498179530.42674,899071965.616914,-997992567.25899,894541764.618681,-1993647350.86408,1403626461.80328,-1493522157.17793,1398996570.82935,-993240896.746838,1394366197.99325,-1989027451.78066,1903581304.08917,-1488920986.12567,1898921349.50061,-988734639.532188,1894191388.98045
6833431.67418054,1429787829.33367,-1998019672.16176,948951589.234189,-1497906025.44364,944204479.789438,-997706793.306735,939531430.668562,-1993230895.5688,1448903407.97653,-1493097494.33331,1444124139.52951,-992797792.195606,1439344341.04516,-1988462292.09845,1948855290.98384,-1488348849.87565,1944043990.06213,-988150295.933957,1939158084.76533
7267190.91600112,1474467273.89498,-1997739960.76924,994231468.376734,-1497619096.50447,989337022.375893,-997407204.681253,984521329.368537,-1992801219.92099,1494180227.79015,-1492659350.54512,1489251579.3791,-992340620.837316,1484322349.64481,-1987883932.65841,1994129057.68311,-1487763292.66465,1989166345.62653,-987552144.632941,1984124283.88359
7714296.15737079,1519146586.909,-1997447047.83567,1039511311.42786,-1497318743.60165,1034469589.36557,-997093801.29249,1029511456.59797,-1992358323.96288,1539456917.29556,-1492207725.85241,1534378886.35168,-991869382.672337,1529300219.59016,-1987292373.53051,2039402600.24559,-1487164314.57863,2034288412.18656,-986940185.756996,2029089982.20505
