earthx,earthy,jwx,jwy
0.000000,0.000000,-1500000000.000000,0.000000
6673.323860,44681549.335609,-1499993259.220589,45129565.899493
26693.294846,89363094.684872,-1499973036.882957,90259127.772344
60059.911171,134044632.061443,-1499939332.988904,135388681.591914
106773.169860,178726157.478976,-1499892147.541436,180518223.331562
166833.066746,223407666.951129,-1499831480.544759,225647748.964648
240239.596473,268089156.491558,-1499757332.004279,270777254.464537
326992.752493,312770622.113922,-1499669701.926608,315906735.804592
427092.527069,357452059.831883,-1499568590.319555,361036188.958179
540538.911272,402133465.659105,-1499453997.192132,406165609.898667
667331.894984,446814835.609254,-1499325922.554555,451294994.599428
807471.466896,491496165.695999,-1499184366.418238,496424339.033837
960957.614509,536177451.933015,-1499029328.795800,541553639.175272
1127790.324134,580858690.333979,-1498860809.701060,586682890.997117
1307969.580890,625539876.912571,-1498678809.149039,631812090.472757
1501495.368707,670221007.682480,-1498483327.155959,676941233.575586
1708367.670323,714902078.657395,-1498274363.739244,722070316.278998
1928586.467289,759583085.851012,-1498051918.917522,767199334.556395
2162151.739961,804264025.277035,-1497815992.710618,812328284.381186
2409063.467509,848944892.949171,-1497566585.139561,857457161.726784
2669321.627909,893625684.881135,-1497303696.226584,902585962.566609
2942926.197949,938306397.086648,-1497027325.995118,947714682.874088
3229877.153225,982987025.579438,-1496737474.469797,992843318.622655
3530174.468145,1027667566.373242,-1496434141.676459,1037971865.785751
3843818.115923,1072348015.481804,-1496117327.642140,1083100320.336827
4170808.068587,1117028368.918876,-1495787032.395077,1128228678.249340
4511144.296970,1161708622.698216,-1495443255.964715,1173356935.496756
4864826.770718,1206388772.833596,-1495085998.381695,1218485088.052551
5231855.458286,1251068815.338793,-1494715259.677860,1263613131.890209
5612230.326938,1295748746.227596,-1494331039.886255,1308741062.983224
6005951.342747,1340428561.513803,-1493933339.041129,1353868877.305099
6413018.470597,1385108257.211222,-1493522157.177931,1398996570.829352
6833431.674181,1429787829.333673,-1493097494.333309,1444124139.529506
7267190.916001,1474467273.894984,-1492659350.545119,1489251579.379098
7714296.157371,1519146586.908999,-1492207725.852412,1534378886.351676
8174747.358412,1563825764.389570,-1491742620.295445,1579506056.420799
8648544.478055,1608504802.350563,-1491264033.915675,1624633085.560041
9135687.474043,1653183696.805853,-1490771966.755760,1669759969.742983
9636176.302926,1697862443.769334,-1490266418.859560,1714886704.943225
10150010.920064,1742541039.254908,-1489747390.272138,1760013287.134377
10677191.279629,1787219479.276491,-1489214881.039757,1805139712.290063
11217717.334600,1831897759.848015,-1488668891.209881,1850265976.383921
11771589.036767,1876575876.983427,-1488109420.831177,1895392075.389604
12338806.336729,1921253826.696685,-1487536469.953514,1940518005.280778
12919369.183895,1965931605.001763,-1486950038.627962,1985643762.031126
13513277.526484,2010609207.912653,-1486350126.906792,2030769341.614347
14120531.311525,2055286631.443359,-1485736734.843477,2075894740.004152
14741130.484855,2099963871.607903,-1485109862.492691,2121019953.174271
15375074.991122,2144640924.420323,-1484469509.910311,2166144977.098451
16022364.773785,2189317785.894673,-1483815677.153415,2211269807.750453
16682999.775110,2233994452.045027,-1483148364.280280,2256394441.104059
17356979.936174,2278670918.885472,-1482467571.350389,2301518873.133066
18044305.196864,2323347182.430116,-1481773298.424423,2346643099.811287
18744975.495876,2368023238.693083,-1481065545.564266,2391767117.112558
19458990.770717,2412699083.688519,-1480344312.833004,2436890921.010730
20186350.957702,2457374713.430583,-1479609600.294923,2482014507.479675
20927055.991958,2502050123.933458,-1478861408.015512,2527137872.493284
21681105.807419,2546725311.211344,-1478099736.061461,2572261012.025466
22448500.336831,2591400271.278464,-1477324584.500661,2617383922.050153
23229239.511749,2636075000.149058,-1476535953.402205,2662506598.541295
24023323.262537,2680749493.837387,-1475733842.836387,2707629037.472863
24830751.518370,2725423748.357735,-1474918252.874704,2752751234.818848
25651524.207232,2770097759.724406,-1474089183.589854,2797873186.553267
26485641.255918,2814771523.951726,-1473246635.055734,2842994888.650154
27333102.590030,2859445037.054039,-1472390607.347445,2888116337.083568
28193908.133984,2904118295.045719,-1471521100.541289,2933237527.827589
29068057.811002,2948791293.941160,-1470638114.714769,2978358456.856321
29955551.543117,2993464029.754777,-1469741649.946589,3023479120.143892
30856389.251173,3038136498.501008,-1468831706.316658,3068599513.664451
31770570.854823,3082808696.194318,-1467908283.906081,3113719633.392172
32698096.272530,3127480618.849193,-1466971382.797168,3158839475.301254
33638965.421565,3172152262.480144,-1466021003.073428,3203959035.365921
34593178.218012,3216823623.101711,-1465057144.819574,3249078309.560421
35560734.576763,3261494696.728455,-1464079808.121520,3294197293.859029
36541634.411520,3306165479.374962,-1463088993.066380,3339315984.236044
37535877.634796,3350835967.055848,-1462084699.742470,3384434376.665793
38543464.157911,3395506155.785750,-1461066928.239306,3429552467.122626
