hx0,hy0,hx1,hy1
1000.000000,0.000000,0.000000,1000.000000
1000.019820,-0.000023,-0.000023,999.990091
1000.079275,-0.000179,-0.000178,999.960365
1000.178365,-0.000600,-0.000599,999.910824
1000.317094,-0.001421,-0.001422,999.841470
1000.495466,-0.002777,-0.002779,999.752303
1000.713486,-0.004798,-0.004800,999.643335
1000.971163,-0.007614,-0.007616,999.514569
1001.268493,-0.011366,-0.011366,999.366012
1001.605491,-0.016186,-0.016181,999.197667
1001.982167,-0.022208,-0.022196,999.009541
1002.398523,-0.029559,-0.029542,998.801647
1002.854574,-0.038383,-0.038350,998.573992
1003.350331,-0.048810,-0.048754,998.326593
1003.885805,-0.060969,-0.060891,998.059456
1004.461011,-0.074994,-0.074887,997.772608
1005.075961,-0.091020,-0.090881,997.466055
1005.730672,-0.109195,-0.108999,997.139799
1006.425162,-0.129633,-0.129378,996.793879
1007.159447,-0.152480,-0.152146,996.428304
1007.933541,-0.177876,-0.177441,996.043087
1008.747464,-0.205935,-0.205391,995.638253
1009.601239,-0.236835,-0.236134,995.213791
1010.494886,-0.270669,-0.269795,994.769764
1011.428427,-0.307582,-0.306506,994.306198
1012.401882,-0.347728,-0.346403,993.823075
1013.415281,-0.391230,-0.389618,993.320469
1014.468646,-0.438217,-0.436278,992.798359
1015.562000,-0.488836,-0.486515,992.256783
1016.695374,-0.543215,-0.540463,991.695807
1017.868792,-0.601490,-0.598253,991.115412
1019.082285,-0.663815,-0.660015,990.515642
1020.335882,-0.730335,-0.725881,989.896532
1021.629614,-0.801167,-0.795978,989.258091
1022.963514,-0.876465,-0.870441,988.600382
1024.337613,-0.956341,-0.949394,987.923445
1025.751946,-1.040972,-1.032972,987.227280
1027.206546,-1.130478,-1.121304,986.511927
1028.701448,-1.224995,-1.214518,985.777431
1030.236691,-1.324680,-1.312746,985.023844
1031.812310,-1.429680,-1.416115,984.251160
1033.428345,-1.540100,-1.524755,983.459461
1035.084835,-1.656097,-1.638796,982.648750
