rightx,righty,topx,topy,bottomx,bottomy,leftx,lefty
1000,0,0,1000,0,-1000,-1000,0
1000.00003933907,-3.72529029846191e-009,0,999.999980425462,0,-999.999980427325,-1000.00003838539,1.86264514923096e-009
1000.00015687943,-1.86264514923096e-008,0,999.999921705574,0,-999.999921709299,-1000.00015568733,1.49011611938477e-008
1000.0003528595,-5.96046447753906e-008,0,999.999823838472,0,-999.999823845923,-1000.00035119057,4.4703483581543e-008
1000.00062727928,-1.41561031341553e-007,0,999.999686829746,2.38418579101562e-007,-999.999686844647,-1000.00062537193,1.19209289550781e-007
1000.00097990036,-2.68220901489258e-007,-2.38418579101562e-007,999.999510645866,2.38418579101562e-007,-999.999510705471,-1000.00097775459,2.38418579101562e-007
1000.00141096115,-4.32133674621582e-007,-2.38418579101562e-007,999.999295413494,7.15255737304688e-007,-999.999295353889,-1000.00140833855,4.76837158203125e-007
1000.00191950798,-7.15255737304688e-007,-4.76837158203125e-007,999.999040946364,7.15255737304688e-007,-999.999040916562,-1000.00191736221,7.15255737304688e-007
1000.00250697136,-1.05798244476318e-006,-7.15255737304688e-007,999.998747333884,9.5367431640625e-007,-999.998747348785,-1000.00250434875,1.04308128356934e-006
1000.00317263603,-1.46031379699707e-006,-1.19209289550781e-006,999.998414605856,9.5367431640625e-007,-999.998414605856,-1000.00316977501,1.51991844177246e-006
1000.00391626358,-1.96695327758789e-006,-1.66893005371094e-006,999.998042732477,1.43051147460938e-006,-999.998042732477,-1000.00391316414,2.05636024475098e-006
1000.00473833084,-2.59280204772949e-006,-2.38418579101562e-006,999.997631788254,2.38418579101562e-006,-999.997631639242,-1000.00473499298,2.74181365966797e-006
1000.00563836098,-3.39746475219727e-006,-3.33786010742188e-006,999.997181594372,2.86102294921875e-006,-999.997181534767,-1000.00563573837,3.45706939697266e-006
1000.00661683083,-4.26173210144043e-006,-4.29153442382812e-006,999.996692240238,3.814697265625e-006,-999.996692180634,-1000.00661420822,4.38094139099121e-006
